respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,congenial,response_probe,question,condition,correct
47,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
47,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
47,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,1.0,dt,mc,1
48,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
48,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
48,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
48,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
51,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
51,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
51,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
51,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
53,0.0,0.0,1.0,,,,open,,,aca,mc,0
53,0.0,0.0,1.0,,,,open,,0.0,aca2,mc,0
53,0.0,0.0,1.0,,,,open,,,gg,mc,0
53,0.0,0.0,1.0,,,,open,,1.0,dt,mc,1
56,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,aca,mc,0
56,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,0.0,aca2,mc,0
56,1.0,0.0,0.0,1.0,1.0,0.0,closed,1.0,,gg,mc,1
56,1.0,0.0,0.0,1.0,1.0,0.0,closed,0.0,1.0,dt,mc,1
58,0.0,0.0,1.0,,0.0,0.0,open,0.0,,aca,mc,1
58,0.0,0.0,1.0,,0.0,0.0,open,0.0,1.0,aca2,mc,1
58,0.0,0.0,1.0,,0.0,0.0,open,0.0,,gg,mc,1
58,0.0,0.0,1.0,,0.0,0.0,open,1.0,1.0,dt,mc,1
59,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
59,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,0.0,aca2,mc,0
59,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
59,0.0,1.0,0.0,0.0,0.0,1.0,closed,1.0,0.0,dt,mc,0
61,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,aca,mc,0
61,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,1.0,aca2,mc,1
61,1.0,0.0,0.0,1.0,1.0,0.0,open,1.0,,gg,mc,0
61,1.0,0.0,0.0,1.0,1.0,0.0,open,0.0,1.0,dt,mc,1
62,0.0,0.0,1.0,,,,closed,,,aca,mc,0
62,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
62,0.0,0.0,1.0,,,,closed,,,gg,mc,0
62,0.0,0.0,1.0,,,,closed,,1.0,dt,mc,1
63,0.0,0.0,1.0,,,,closed,,,aca,mc,0
63,0.0,0.0,1.0,,,,closed,,0.0,aca2,mc,0
63,0.0,0.0,1.0,,,,closed,,,gg,mc,0
63,0.0,0.0,1.0,,,,closed,,0.0,dt,mc,0
64,,,,,0.0,1.0,open,0.0,,aca,mc,0
64,,,,,0.0,1.0,open,0.0,1.0,aca2,mc,1
64,,,,,0.0,1.0,open,0.0,,gg,mc,0
64,,,,,0.0,1.0,open,1.0,1.0,dt,mc,1
66,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,aca,mc,0
66,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,1.0,aca2,mc,1
66,0.0,1.0,0.0,0.0,0.0,1.0,closed,0.0,,gg,mc,0
