respondent,democrat,republican,independent,democrat_noleaners,democrat_leaners,republican_leaners,probe,questions,responses,congenial,response_probe
44,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
44,1,0,0,NA,1,0,closed,dt_correct,0,0,0
45,0,1,0,0,0,1,closed,aca_correct,0,0,NA
45,0,1,0,0,0,1,closed,aca2_correct,0,0,0
45,0,1,0,0,0,1,closed,gg_correct,0,0,NA
45,0,1,0,0,0,1,closed,dt_correct,0,1,0
47,0,1,0,0,0,1,closed,aca_correct,0,0,NA
47,0,1,0,0,0,1,closed,aca2_correct,0,0,0
47,0,1,0,0,0,1,closed,gg_correct,0,0,NA
47,0,1,0,0,0,1,closed,dt_correct,1,1,1
48,1,0,0,1,1,0,closed,aca_correct,0,1,NA
48,1,0,0,1,1,0,closed,aca2_correct,0,1,0
48,1,0,0,1,1,0,closed,gg_correct,1,1,NA
48,1,0,0,1,1,0,closed,dt_correct,1,0,1
51,1,0,0,1,1,0,closed,aca_correct,0,1,NA
51,1,0,0,1,1,0,closed,aca2_correct,0,1,0
51,1,0,0,1,1,0,closed,gg_correct,1,1,NA
51,1,0,0,1,1,0,closed,dt_correct,1,0,1
53,0,0,1,NA,NA,NA,open,aca_correct,0,NA,NA
53,0,0,1,NA,NA,NA,open,aca2_correct,0,NA,0
53,0,0,1,NA,NA,NA,open,gg_correct,0,NA,NA
53,0,0,1,NA,NA,NA,open,dt_correct,1,NA,1
56,1,0,0,1,1,0,closed,aca_correct,0,1,NA
56,1,0,0,1,1,0,closed,aca2_correct,0,1,0
56,1,0,0,1,1,0,closed,gg_correct,1,1,NA
56,1,0,0,1,1,0,closed,dt_correct,1,0,1
58,0,0,1,NA,0,0,open,aca_correct,1,0,NA
58,0,0,1,NA,0,0,open,aca2_correct,1,0,1
58,0,0,1,NA,0,0,open,gg_correct,1,0,NA
58,0,0,1,NA,0,0,open,dt_correct,1,1,1
59,0,1,0,0,0,1,closed,aca_correct,0,0,NA
59,0,1,0,0,0,1,closed,aca2_correct,0,0,0
59,0,1,0,0,0,1,closed,gg_correct,0,0,NA
59,0,1,0,0,0,1,closed,dt_correct,0,1,0
61,1,0,0,1,1,0,open,aca_correct,0,1,NA
61,1,0,0,1,1,0,open,aca2_correct,1,1,1
61,1,0,0,1,1,0,open,gg_correct,0,1,NA
61,1,0,0,1,1,0,open,dt_correct,1,0,1
62,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
62,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
62,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
62,0,0,1,NA,NA,NA,closed,dt_correct,1,NA,1
63,0,0,1,NA,NA,NA,closed,aca_correct,0,NA,NA
63,0,0,1,NA,NA,NA,closed,aca2_correct,0,NA,0
63,0,0,1,NA,NA,NA,closed,gg_correct,0,NA,NA
63,0,0,1,NA,NA,NA,closed,dt_correct,0,NA,0
64,NA,NA,NA,NA,0,1,open,aca_correct,0,0,NA
64,NA,NA,NA,NA,0,1,open,aca2_correct,1,0,1
64,NA,NA,NA,NA,0,1,open,gg_correct,0,0,NA
64,NA,NA,NA,NA,0,1,open,dt_correct,1,1,1
66,0,1,0,0,0,1,closed,aca_correct,0,0,NA
66,0,1,0,0,0,1,closed,aca2_correct,1,0,1
66,0,1,0,0,0,1,closed,gg_correct,0,0,NA
66,0,1,0,0,0,1,closed,dt_correct,1,1,1
67,1,0,0,NA,1,0,closed,aca_correct,0,1,NA
67,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
67,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
67,1,0,0,NA,1,0,closed,dt_correct,1,0,1
68,0,1,0,0,0,1,closed,aca_correct,0,0,NA
68,0,1,0,0,0,1,closed,aca2_correct,0,0,0
68,0,1,0,0,0,1,closed,gg_correct,0,0,NA
68,0,1,0,0,0,1,closed,dt_correct,1,1,1
69,1,0,0,NA,1,0,closed,aca_correct,0,1,NA
69,1,0,0,NA,1,0,closed,aca2_correct,0,1,0
69,1,0,0,NA,1,0,closed,gg_correct,0,1,NA
69,1,0,0,NA,1,0,closed,dt_correct,0,0,0
71,1,0,0,1,1,0,closed,aca_correct,1,1,NA
71,1,0,0,1,1,0,closed,aca2_correct,0,1,0
71,1,0,0,1,1,0,closed,gg_correct,1,1,NA
71,1,0,0,1,1,0,closed,dt_correct,1,0,1
72,1,0,0,1,1,0,open,aca_correct,0,1,NA
72,1,0,0,1,1,0,open,aca2_correct,0,1,0
72,1,0,0,1,1,0,open,gg_correct,0,1,NA
72,1,0,0,1,1,0,open,dt_correct,0,0,0
73,1,0,0,1,1,0,closed,aca_correct,0,1,NA
73,1,0,0,1,1,0,closed,aca2_correct,0,1,0
73,1,0,0,1,1,0,closed,gg_correct,0,1,NA
73,1,0,0,1,1,0,closed,dt_correct,1,0,1
75,1,0,0,NA,1,0,open,aca_correct,0,1,NA
75,1,0,0,NA,1,0,open,aca2_correct,0,1,0
75,1,0,0,NA,1,0,open,gg_correct,1,1,NA
75,1,0,0,NA,1,0,open,dt_correct,1,0,1
77,1,0,0,1,1,0,open,aca_correct,0,1,NA
77,1,0,0,1,1,0,open,aca2_correct,0,1,0
77,1,0,0,1,1,0,open,gg_correct,1,1,NA
77,1,0,0,1,1,0,open,dt_correct,1,0,1
78,1,0,0,1,1,0,closed,aca_correct,0,1,NA
78,1,0,0,1,1,0,closed,aca2_correct,0,1,0
78,1,0,0,1,1,0,closed,gg_correct,0,1,NA
78,1,0,0,1,1,0,closed,dt_correct,1,0,1
82,0,1,0,0,0,1,closed,aca_correct,0,0,NA
82,0,1,0,0,0,1,closed,aca2_correct,0,0,0
82,0,1,0,0,0,1,closed,gg_correct,0,0,NA
